Id,Dato,Byggeplads adresse,Postnr,Postby,Kommune,Kommunenr,Type,firmaAdresse,Firmanavn,firmaPostnr,Samlet beløb,Timer,Timeløn
617,06-Jan-14,Skolevænget 4,4622,Havdrup,Solrød,269,BYG- Bygge/anlægsarbejde,,Lind & Risør,,"38,221.00",190.0,201.00
618,13-Feb-14,Skolegade 28,7100,Vejle,Vejle,630,Murersvende,,Fruensgaard Byg,,"45,103.00",182.0,248.00
619,24-Mar-14,Peder Skrams Vej 3,9900,Frederikshavn,Frederikshavn,813,Murersvende,,Vendia-Huset A/S,,"111,272.00",340.0,327.00
620,20-Jan-14,Aabenraa,6200,Aabenraa,Aabenraa,580,Murersvende,,Norsgaard,,"71,988.00",300.0,240.00
621,20-Mar-14,Silkeborg,8600,Silkeborg,Silkeborg,740,DE- Bygge/anlægsarbejde,,Aarsleff,,"540,033.00","2,379.0",227.00
622,10-Jan-14,Aars,9600,Aars,Vesthimmerland,820,Murersvende,,Murerfirmaet Henriksen & Madsen,,"61,722.00",228.0,271.00
623,23-Jan-14,Erslev,7950,Erslev,Morsø,773,BYG- Bygge/anlægsarbejde,,Byggefirmaet Knudsgaard,,"322,034.00","1,530.0",210.00
624,31-Mar-14,Esbjerg,6700,Esbjerg,Esbjerg,561,DE- Bygge/anlægsarbejde,,,,"144,448.00",590.0,245.00
625,06-Feb-14,Søndermarksvej,4000,Roskilde,Roskilde,265,Murersvende,,H. Nielsen & Søn A/S,,"209,838.00",900.0,233.00
626,26-Mar-14,Gedskovvej 103,5300,kerteminde,Kerteminde,440,DE- Bygge/anlægsarbejde,,hansson&knudsen,,"917,827.00","4,249.0",216.00
627,09-Jan-14,Hammeren,7900,Nykøbing,Morsø,773,Murersvende,,Witte Byg,,"88,888.00",404.0,220.00
628,14-Jan-14,Skanderborg,8660,Skanderborg,Skanderborg,746,DE- Bygge/anlægsarbejde,,Kaj Ove Madsen A/S,,"56,296.00",239.0,236.00
629,20-Jan-14,Plantagevej,6330,Padborg,Aabenraa,580,Murersvende,,Brdr. Meyenburg,,"8,675.00",40.0,217.00
630,06-Jan-14,Yrsavej 6,4000,Roskilde,Roskilde,265,BYG- Bygge/anlægsarbejde,,Lind & Risør,,"51,192.00",238.0,215.00
631,12-Mar-14,Bispehaven 2,9440,Aabybro,Jammerbugt,849,Murersvende,,KFS Boligbyg A/S,,"70,606.00",256.0,275.00
632,06-Mar-14,Hobrovej 437,9200,Aalborg Sv,Aalborg,851,Murersvende,,Lund & Staun A/S,,"497,262.00","4,038.0",123.00
633,31-Jan-14,Ageren 29,4000,Roskilde,Næstved,370,Murersvende,,HHM A/S,,"40,989.00",180.0,228.00
634,20-Jan-14,Rugkobbel,6200,Aabenraa,Aabenraa,580,Murersvende,,Bo Michelsen A/S,,"4,323.00",20.0,216.00
635,31-Mar-14,Sankt Jørgensgade,5000,Odense C,Odense,461,BYG- Bygge/anlægsarbejde,,Hans Jørgensen & Søn Entreprenører A/S,,"322,929.00","1,327.0",243.00
636,23-Jan-14,Tingstrupvej,7700,Thisted,Thisted,787,Murersvende,,Erling Jensen A/S,,"929,204.00","3,840.0",242.00
637,24-Mar-14,Havnegade 30,5800,Nyborg,Nyborg,450,Murersvende,,"Dreier & Co., Nyborg A/S",,"144,011.00",561.0,257.00
638,13-Jan-14,Jernholmen,2650,Hvidovre,Hvidovre,167,Tagpap,,Rationel Tagdækning A/S,,"26,114.00",130.0,201.00
640,09-Jan-14,Materielvej 3,7470,Karup ,Viborg,791,DE- Bygge/anlægsarbejde,,Kaj Ove Madsen A/S,,"112,738.00",551.0,205.00
